pais,departamento,localidad
URUGUAY,MONTEVIDEO,MONTEVIDEO
URUGUAY,ARTIGAS,ARTIGAS
URUGUAY,ARTIGAS,BELLA UNION
URUGUAY,ARTIGAS,TOMAS GOMENSORO
URUGUAY,ARTIGAS,BALTASAR BRUM
URUGUAY,ARTIGAS,BERNABE RIVERA
URUGUAY,ARTIGAS,FRANQUIA
URUGUAY,ARTIGAS,SEQUEIRA
URUGUAY,ARTIGAS,CORONADO
URUGUAY,ARTIGAS,CUAREIM
URUGUAY,ARTIGAS,CUARO
URUGUAY,ARTIGAS,JAVIER DE VIANA
URUGUAY,ARTIGAS,LA BOLSA
URUGUAY,ARTIGAS,LAS PIEDRAS
URUGUAY,ARTIGAS,PINTADITO
URUGUAY,ARTIGAS,PORT. DE HIERRO Y CAMPODONICO
URUGUAY,ARTIGAS,MONES QUINTELA
URUGUAY,ARTIGAS,CAINSA
URUGUAY,ARTIGAS,PASO CAMPAMENTO
URUGUAY,ARTIGAS,DIEGO LAMAS
URUGUAY,ARTIGAS,PASO FARIAS
URUGUAY,ARTIGAS,RINCON DE PACHECO
URUGUAY,ARTIGAS,TOPADOR
URUGUAY,ARTIGAS,CERRO EJIDO
URUGUAY,ARTIGAS,COLONIA PALMA
URUGUAY,ARTIGAS,CERRO SIGNORELLI (EL MIRADOR)
URUGUAY,ARTIGAS,CERRO SAN EUGENIO
URUGUAY,ARTIGAS,CALNU
URUGUAY,CANELONES,LAS PIEDRAS
URUGUAY,CANELONES,CANELONES
URUGUAY,CANELONES,LA PAZ
URUGUAY,CANELONES,PANDO
URUGUAY,CANELONES,SANTA LUCIA
URUGUAY,CANELONES,PIEDRAS DE AFILAR
URUGUAY,CANELONES,CUMBRES DE CARRASCO
URUGUAY,CANELONES,HARAS DEL LAGO
URUGUAY,CANELONES,QUINTA LOS HORNEROS
URUGUAY,CANELONES,LAS HIGUERITAS
URUGUAY,CANELONES,SOFIA SANTOS
URUGUAY,CANELONES,PROGRESO
URUGUAY,CANELONES,SAN RAMON
URUGUAY,CANELONES,BARROS BLANCOS
URUGUAY,CANELONES,COLONIA NICOLICH
URUGUAY,CANELONES,JOAQUIN SUAREZ
URUGUAY,CANELONES,PASO CARRASCO
URUGUAY,CANELONES,SANTA ROSA
URUGUAY,CANELONES,SAUCE
URUGUAY,CANELONES,TALA
URUGUAY,CANELONES,VILLA CRESPO Y SAN ANDRES
URUGUAY,CANELONES,FRACC. CNO. ANDALUZ Y R.84
URUGUAY,CANELONES,ATLANTIDA
URUGUAY,CANELONES,ESTACION ATLANTIDA
URUGUAY,CANELONES,CERRILLOS
URUGUAY,CANELONES,EMPALME OLMOS
URUGUAY,CANELONES,MIGUES
URUGUAY,CANELONES,PARQUE DEL PLATA
URUGUAY,CANELONES,SAN BAUTISTA
URUGUAY,CANELONES,SAN JACINTO
URUGUAY,CANELONES,DR. FRANCISCO SOCA
URUGUAY,CANELONES,TOLEDO
URUGUAY,CANELONES,MONTES
URUGUAY,CANELONES,SAN JOSE DE CARRASCO
URUGUAY,CANELONES,FRACC. SOBRE RUTA 74
